dataset_name;percentage_altered
paws_keyboard_0.01;1.0
paws_keyboard_0.05;1.0
paws_keyboard_0.1;1.0
paws_ocr_0.01;1.0
paws_ocr_0.05;1.0
paws_ocr_0.1;1.0
paws_spellingerror_0.01;0.99975
paws_spellingerror_0.05;0.99975
paws_spellingerror_0.1;0.99975
paws_typos_0.01;1.0
paws_typos_0.05;1.0
paws_typos_0.1;1.0
paws_sne_0.1;0.72075
paws_sne_0.2;0.72075
paws_sne_0.3;0.72075
paws_sswn_0.1;0.99975
paws_sswn_0.2;0.99975
paws_sswn_0.3;0.99975
paws_contraction.0;0.050125
paws_insertadv.0;0.9975
paws_prejudice.0;0.028625
paws_punctuation.0;1.0
paws_reverseneg.0;0.961875
paws_swapnum.0;0.4015
paws_verbtense.0;0.764125
paws_twitter.0;1.0
paws_wordcase.0;1.0
