idx;prediction
3718;0
39482;2
39849;2
110686;2
52935;0
114386;2
42984;2
73916;0
100545;1
14398;0
46399;1
20361;1
99069;2
9864;1
41320;1
87567;1
107583;2
77948;1
12697;2
24405;2
15393;2
99574;1
127691;2
24492;0
69209;1
31875;0
130018;2
130557;0
74133;1
26903;2
65574;1
76484;2
29916;1
104087;1
19604;0
65998;2
19397;1
60957;2
112946;0
44614;1
121134;2
33176;2
52427;0
3133;2
35605;0
17445;2
14543;1
57463;2
36124;0
74995;0
58862;2
24370;0
85882;2
528;0
36996;2
66728;0
26220;0
94201;2
57880;1
25306;1
12372;1
58522;0
24696;1
53756;1
97803;0
73652;1
17217;1
117463;1
12325;0
55387;1
72853;2
34104;1
46397;1
72035;2
4202;1
81120;0
24572;1
35718;1
15184;1
55093;0
33004;2
30734;2
39846;0
15701;2
100954;1
112942;0
89894;1
56373;2
42649;2
86357;2
289;2
1243;2
57765;0
81321;0
86441;1
91965;1
46291;0
46280;0
126729;1
92945;0
9418;1
27958;0
130556;2
80504;1
7873;2
23795;0
73951;0
33802;0
71161;1
115876;0
36113;0
51533;2
22378;0
82629;1
37028;0
24823;2
29864;0
37587;2
7425;0
94717;0
47265;0
41739;0
34406;0
49972;0
119474;2
30849;2
108219;2
85148;2
128099;1
67103;1
7081;1
21830;0
86477;0
122353;2
36072;1
55995;1
8702;2
6366;0
65778;0
77157;0
127411;2
97405;0
50867;2
72076;1
65252;2
1325;1
67311;2
102086;2
43848;2
39719;0
36375;2
99571;1
108571;2
17555;2
13874;0
106582;0
64603;2
12781;0
64824;2
74953;1
121434;0
47127;0
46208;2
84137;1
92109;2
89761;1
42879;0
115676;0
73199;1
49242;2
9009;2
43245;2
20227;0
116814;2
111410;1
104308;2
79121;1
24445;0
41439;0
55504;2
94682;2
1699;1
98121;0
104005;1
121847;2
100113;1
8928;2
40986;2
10936;0
111490;2
79617;0
119124;0
16137;0
94381;0
128314;2
55696;1
35452;0
10987;2
9092;0
68274;2
86784;0
58966;2
114562;1
80907;1
121751;0
57408;2
37221;1
15591;2
83330;2
123450;0
8757;1
65298;0
39391;1
28025;0
85345;0
10751;1
109304;0
73732;2
31381;0
1839;0
130191;1
44660;2
35749;0
64982;2
7904;1
3655;1
98591;2
18383;2
44338;1
69984;2
78311;2
33549;2
67459;2
120676;2
125644;1
92512;0
114586;1
113225;2
36067;0
39512;2
28456;1
126352;0
116683;0
33844;1
26908;1
91628;1
69861;1
33389;1
37806;1
108176;0
6027;2
34505;1
10951;0
65780;1
70763;1
21613;0
126990;2
51526;2
93382;0
18579;2
79152;2
87108;0
96863;2
123837;0
15127;2
58978;2
91512;2
23695;0
67273;0
4651;0
78571;1
125182;2
110377;2
67033;0
101936;2
120597;1
84897;1
110853;0
119923;1
111525;0
63493;0
15830;2
6170;1
36891;2
96527;0
3512;1
9164;1
16860;0
121223;2
78769;1
128771;2
125736;2
53240;0
97258;2
50721;0
9654;1
4934;0
87386;0
37660;0
99481;0
30721;0
42503;2
80345;1
5509;0
60937;1
69563;1
100258;1
84544;2
85498;1
30461;0
52833;2
72323;0
82483;0
63442;1
46150;0
10664;1
130674;1
48976;1
42031;0
9659;0
54730;2
80061;0
17937;2
46942;1
27333;0
31413;2
3418;2
45729;1
8218;0
55346;2
58020;0
22714;0
92509;1
76904;0
97190;2
72092;1
81488;0
69166;2
77894;2
50061;2
65194;1
29589;0
72983;1
28300;0
62799;0
111356;0
32674;2
7937;0
15282;2
58082;0
80025;2
53390;0
54814;2
18844;0
123335;2
128611;0
96030;1
19564;0
77250;1
92584;1
46917;1
95884;1
81629;2
116918;1
1166;0
93049;0
101728;1
117736;1
47050;2
108485;0
53450;1
35130;2
86301;2
125987;1
69715;1
23442;2
66291;0
84638;2
89164;2
31494;2
2133;1
63378;0
115364;2
95496;0
122304;1
68678;0
98537;1
30125;0
94134;1
90303;0
8909;1
24592;0
95934;2
20369;2
6884;1
26486;2
36079;1
72670;1
37535;0
42518;0
25440;0
37001;0
20309;2
70593;1
64728;2
67301;1
39853;2
120042;2
3233;1
39694;1
7585;0
58018;0
15327;2
59526;0
113347;2
35802;1
99952;0
6749;0
13074;2
102799;0
91856;1
30466;2
54391;1
37831;2
71159;0
84676;2
113895;2
91112;2
123062;2
40739;0
48998;1
78924;0
92112;1
38366;0
72973;2
112525;0
29507;1
60931;0
123531;2
101504;1
73747;0
11927;0
41824;1
120136;0
76101;0
68681;2
73256;0
6968;2
2062;0
106574;2
73936;0
11226;2
71926;0
56098;2
103038;1
75207;2
12683;0
66780;0
70083;0
91178;1
91167;1
38498;1
73133;2
50198;2
26692;1
81883;0
18448;0
34758;2
128650;0
122722;2
14923;0
124048;0
115118;0
98198;0
61447;0
97224;0
14203;0
44844;1
87557;2
67838;0
90594;1
2375;1
102048;1
115314;1
63565;0
121586;1
7741;2
33254;0
37812;0
34122;0
23160;1
72530;1
74536;2
42788;0
11837;0
19262;1
6619;0
20889;0
117025;2
93318;2
74185;2
114981;0
42837;1
91421;1
48395;2
77022;1
24339;0
68493;0
53256;0
47179;0
74448;1
45270;1
66416;1
96773;2
71558;2
73000;0
109540;0
2257;0
127040;1
22565;2
69683;1
14912;0
45674;0
21269;2
78870;2
74843;2
65568;2
67100;2
100083;0
86880;0
120557;2
69110;1
80328;0
41141;1
1836;2
44597;2
30891;2
106128;1
99873;2
45915;2
36745;2
23490;0
17901;0
105097;2
47443;2
16662;0
47266;2
76670;0
74990;2
83251;2
23853;2
44708;2
113170;1
110084;2
19213;2
56870;1
119818;2
82918;1
16321;2
47275;2
112136;1
97072;1
103713;2
45468;1
85926;0
57033;0
47905;2
45766;0
59464;0
72842;1
11744;2
106018;1
56771;1
81143;1
68084;1
95363;1
104962;1
39079;0
39964;2
19132;0
91389;1
114606;1
95938;0
26791;0
51325;2
84276;2
113442;2
81797;2
90015;0
82970;2
6014;2
8016;2
19355;1
81303;2
59590;2
64808;0
127370;2
27549;0
7248;1
87916;0
24878;2
125699;0
49069;0
58252;2
121157;0
94450;1
96048;2
44444;1
84180;1
12484;2
16021;0
23397;2
51854;0
61698;0
95337;1
58165;1
3508;2
93032;2
1491;2
31984;1
41377;2
34858;2
104865;0
449;2
44740;2
128511;0
13140;0
34981;2
19125;2
79726;2
56010;2
75265;2
31295;2
24818;0
81526;1
115253;2
69142;2
47090;0
86305;2
78326;2
99022;2
37114;2
22745;0
75448;1
97298;1
54141;2
25147;2
117117;2
95674;1
40076;2
39622;2
40751;1
77988;2
75505;1
125443;0
35643;0
62481;0
111449;0
130019;2
48929;0
90088;2
62052;0
110991;1
37926;2
23775;2
12145;1
69127;0
73471;2
126055;1
122457;0
12893;2
23029;0
107059;2
95473;2
5939;1
52129;2
48985;0
102257;1
88356;0
99674;1
71622;2
123120;1
31915;1
115532;1
12171;1
55776;0
118515;1
29047;1
44373;1
33002;0
24938;2
45488;2
51215;2
55255;1
39428;2
73807;2
123164;0
80464;0
15646;1
127292;2
41694;0
113814;2
73289;0
127698;1
26042;2
1224;2
69296;0
38257;2
12017;1
124909;1
39537;2
12604;0
43017;1
9317;2
75622;1
10804;1
81744;0
94594;2
38945;0
99484;0
78497;0
54353;2
86188;1
65151;1
100527;0
3205;2
25039;2
5570;2
62211;0
121867;2
127157;2
31000;0
123628;0
23438;1
53124;0
63296;2
130438;1
24625;0
71323;0
123197;0
112867;2
61990;2
47638;2
10630;0
120713;2
33740;0
12675;2
27148;2
90615;2
2571;0
116853;1
5955;1
59941;2
118209;1
109930;1
127058;0
82979;0
56174;2
77418;1
125099;2
56954;2
82744;0
107586;1
22604;0
92726;2
126994;2
15722;2
108694;2
9504;0
69140;2
13308;0
19638;1
108611;0
106389;0
97410;2
72800;2
15969;0
20293;0
74574;2
56741;0
106955;2
81072;2
97847;1
124191;0
89928;0
105077;0
90944;0
83976;1
96184;1
104375;0
17183;2
114067;1
76046;1
90865;2
99416;0
28842;2
104647;0
108207;2
102549;0
108113;1
92070;1
120612;2
51870;2
76180;0
90185;0
63197;0
56200;1
108800;0
88552;0
79952;2
127582;1
109715;1
14567;1
9529;1
50373;1
99698;2
119838;0
16224;0
95533;0
64419;1
47342;0
60061;1
20199;0
71334;2
116947;2
106187;0
41125;1
114735;1
2389;2
81822;2
51609;0
108265;0
119197;2
46520;0
45269;0
129172;2
81741;1
99737;2
29570;0
32989;2
115043;0
129623;2
25884;2
74008;2
35047;1
54872;2
125570;1
38733;1
3343;1
17553;1
68297;1
61013;0
41369;1
56192;2
117053;1
16263;0
4721;1
3193;1
78929;1
13918;0
119757;2
79953;0
10127;2
20279;0
51365;1
71064;1
80371;0
17892;0
106030;2
55838;2
116599;2
8150;1
80782;1
67227;0
62520;0
37338;2
116459;1
40797;2
78823;2
127457;2
55230;0
59572;2
10132;0
91801;1
75929;1
66680;1
69506;2
33131;2
67204;2
106310;0
101065;1
123134;2
28383;2
83555;0
32058;1
123451;2
102218;1
32357;2
88517;0
86773;0
27738;0
66700;0
109896;1
54457;1
1238;2
79250;0
29626;0
112114;1
20053;1
10456;1
33045;0
76217;0
70987;2
128555;2
82051;2
42318;2
11621;1
