idx;prediction
7931;1
23575;1
5216;1
15771;1
26454;1
18974;1
20146;1
22477;1
10034;1
26049;1
45;1
29467;1
32723;1
36031;1
20304;1
18227;1
15817;1
10553;1
23229;1
23192;1
15954;1
2174;1
30158;1
22372;1
29047;1
8992;1
24780;1
20661;1
7329;1
6740;1
34445;1
35365;1
21402;1
18488;1
26597;1
3002;1
31797;1
19669;1
25647;1
16413;1
9458;1
4837;1
18423;1
17746;1
12645;1
15025;1
3754;1
32388;1
21716;1
10492;1
9321;1
24822;1
11722;1
33645;1
13868;1
2091;1
33910;1
36241;1
18455;1
29;1
18310;1
15878;1
6246;1
22685;1
24352;1
5775;1
17389;1
26095;1
14329;1
14823;1
21339;1
12180;1
33331;1
31413;1
23004;1
11459;1
8912;1
5148;1
28046;1
9951;1
7105;1
12110;1
28045;1
235;1
17455;1
14907;1
1823;1
33988;1
29298;1
14329;1
33808;1
9295;1
10409;1
22928;1
4160;1
7132;1
9057;1
28532;1
21969;1
11165;1
24912;1
21227;1
30001;1
33518;1
23163;1
14591;1
23171;1
3427;1
26615;1
5352;1
13000;1
3712;1
30459;1
25774;1
37110;1
6062;1
34789;1
20073;1
20603;1
34;1
36670;1
8086;1
20013;1
17634;1
8271;1
4935;1
16050;1
30858;1
11497;1
25807;1
5910;1
22460;1
2941;1
13492;1
27578;1
32665;1
7801;1
28624;1
5453;1
37250;1
28820;1
12741;1
22777;1
308;1
8093;1
16836;1
12971;1
7059;1
3553;1
26322;1
33367;1
20113;1
9865;1
28171;1
4819;1
11971;1
20111;1
14924;1
18842;1
27980;1
14087;1
3673;1
2762;1
2665;1
19866;1
5307;1
30173;1
22903;1
4853;1
21681;1
20569;1
32317;1
9018;1
20290;1
22686;1
4159;1
21999;1
1685;1
5380;1
27623;1
13328;1
23578;1
26747;1
11247;1
19743;1
27794;1
16665;1
25445;1
8693;1
24993;1
701;1
25973;1
17121;1
20648;1
30488;1
5351;1
8182;1
17372;1
11380;1
34401;1
20076;1
16140;1
423;1
16791;1
7835;1
14935;1
22995;1
10556;1
22817;1
3412;1
3138;1
2806;1
13369;1
6941;1
35526;1
29237;1
33768;1
2672;1
26099;1
716;1
27719;1
8304;1
17918;1
25244;1
27150;1
24428;1
14624;1
513;1
20952;1
24135;1
25799;1
20426;1
16820;1
17898;1
24421;1
758;1
2036;1
16225;1
26387;1
26588;1
13706;1
12499;1
10617;1
28987;1
7720;1
3586;1
12715;1
32290;1
35425;1
4622;1
21317;1
32291;1
26411;1
18043;1
32781;1
27086;1
9763;1
231;1
6629;1
8518;1
31387;1
14636;1
25659;1
31552;1
30654;1
17309;1
27586;1
7256;1
24955;1
35149;1
620;1
654;1
4942;1
1452;1
6826;1
20938;1
33385;1
29176;1
12664;1
7306;1
1809;1
3127;1
24059;1
11008;1
1691;1
24104;1
1357;1
32212;1
2004;1
16877;1
23113;1
16317;1
28293;1
6870;1
19661;1
25202;1
2571;1
10153;1
14789;1
11756;1
2790;1
10829;1
412;1
23824;1
23621;1
2964;1
27497;1
33688;1
23116;1
9490;1
29681;1
36856;1
14944;1
12608;1
25572;1
3528;1
12543;1
3440;1
9048;1
3954;1
22186;1
21691;1
27479;1
16796;1
26087;1
3949;1
10271;1
32964;1
1280;1
23996;1
31354;1
1735;1
12904;1
13396;1
19910;1
34858;1
7805;1
28511;1
20739;1
17277;1
4758;1
35652;1
13454;1
30760;1
19591;1
13616;1
32322;1
27319;1
26924;1
101;1
2065;1
14517;1
22546;1
28444;1
19433;1
8777;1
20116;1
17528;1
16678;1
34787;1
656;1
32437;1
3452;1
421;1
11921;1
4639;1
21264;1
34393;1
11582;1
12377;1
11608;1
18100;1
23662;1
26673;1
7416;1
24515;1
5574;1
1915;1
3127;1
28249;1
20660;1
5983;1
26415;1
25897;1
739;1
1452;1
8980;1
5714;1
36055;1
28554;1
2295;1
19653;1
27907;1
3828;1
12101;1
26422;1
23788;1
32393;1
26852;1
35654;1
18133;1
24271;1
21202;1
4300;1
506;1
20892;1
21579;1
7245;1
12951;1
12698;1
7477;1
13336;1
17802;1
9002;1
10552;1
3649;1
17595;1
7749;1
12830;1
17338;1
18101;1
11552;1
13661;1
1103;1
11096;1
22329;1
19672;1
19837;1
5368;1
745;1
26494;1
33658;1
2890;1
14755;1
2827;1
32116;1
27835;1
26062;1
14378;1
29257;1
23664;1
16521;1
19928;1
20756;1
3805;1
8917;1
3165;1
15666;1
23765;1
27625;1
30495;1
14112;1
11020;1
245;1
24244;1
30161;1
14488;1
8305;1
21898;1
4108;1
28204;1
20842;1
9389;1
929;1
7633;1
35993;1
20926;1
20836;1
26858;1
20924;1
36915;1
21060;1
26451;1
25055;1
17267;1
8243;1
24986;1
11262;1
5477;1
13131;1
22610;1
12223;1
33142;1
35275;1
27332;1
25285;1
20979;1
7854;1
32822;1
4906;1
17327;1
26276;1
1250;1
9038;1
18999;1
29416;1
12837;1
26310;1
16944;1
23756;1
5933;1
10255;1
27610;1
18956;1
34460;1
24811;1
16785;1
15011;1
16673;1
20246;1
18856;1
6682;1
23831;1
8814;1
4053;1
3858;1
20632;1
9267;1
12657;1
3278;1
24956;1
21287;1
33596;1
17872;1
24737;1
13208;1
18336;1
15404;1
173;1
24588;1
28303;1
26671;1
29599;1
14165;1
33233;1
27029;1
12430;1
29105;1
29164;1
2010;1
20647;1
16393;1
2719;1
7224;1
21765;1
1431;1
24694;1
24303;1
28477;1
11977;1
20289;1
10228;1
15602;1
6301;1
29468;1
19562;1
17619;1
7553;1
16547;1
6483;1
12382;1
10929;1
14189;1
15914;1
11021;1
5596;1
4570;1
37410;1
9127;1
25991;1
5007;1
27628;1
1678;1
24191;1
5746;1
11650;1
27759;1
3565;1
31558;1
17051;1
5522;1
17283;1
28703;1
16367;1
23907;1
2436;1
18265;1
29407;1
14134;1
21257;1
7729;1
21756;1
24316;1
45;1
6518;1
3737;1
8360;1
23184;1
35389;1
26590;1
6159;1
24483;1
6326;1
23382;1
18838;1
12633;1
18630;1
7626;1
37331;1
8772;1
17242;1
2625;1
6501;1
13864;1
1315;1
11122;1
26056;1
20388;1
8739;1
13371;1
9992;1
16638;1
8121;1
35075;1
28204;1
23334;1
3050;1
31352;1
36855;1
11592;1
12063;1
14161;1
14219;1
9226;1
13295;1
8784;1
9842;1
22649;1
32171;1
4689;1
22646;1
32225;1
1191;1
6399;1
29933;1
18195;1
19244;1
23700;1
12897;1
9040;1
17045;1
16432;1
8846;1
3445;1
25938;1
9562;1
24249;1
20427;1
17191;1
1756;1
28258;1
5784;1
10146;1
36629;1
4022;1
4541;1
17062;1
7665;1
15172;1
30276;1
12773;1
104;1
18755;1
5589;1
21791;1
16711;1
10282;1
12386;1
5210;1
11345;1
10248;1
19830;1
1542;1
9558;1
597;1
5402;1
25127;1
13248;1
35730;1
30018;1
14937;1
29100;1
10817;1
25434;1
24441;1
8631;1
3250;1
8431;1
168;1
18094;1
3723;1
28676;1
10050;1
5557;1
24188;1
35187;1
26046;1
18168;1
6103;1
16004;1
10131;1
563;1
15124;1
1533;1
34088;1
36360;1
11023;1
12784;1
6667;1
5640;1
2341;1
1704;1
18779;1
3194;1
3000;1
37174;1
25883;1
25123;1
16758;1
16910;1
13032;1
19892;1
959;1
5396;1
35534;1
21949;1
19925;1
26744;1
4850;1
17505;1
21684;1
16245;1
20690;1
20779;1
23201;1
36067;1
17611;1
28569;1
28673;1
5907;1
27115;1
25806;1
15020;1
5022;1
24170;1
4272;1
15463;1
33254;1
5031;1
28075;1
12517;1
24934;1
4780;1
11736;1
16886;1
3660;1
13941;1
22373;1
20484;1
6735;1
971;1
32544;1
11570;1
8270;1
23422;1
8754;1
4898;1
32422;1
18588;1
35816;1
32055;1
11369;1
9950;1
26633;1
3947;1
12417;1
21822;1
5559;1
1127;1
35197;1
27566;1
17798;1
5137;1
29910;1
21996;1
21532;1
12456;1
20277;1
24385;1
9710;1
32523;1
17034;1
9726;1
23324;1
4012;1
27592;1
27523;1
20973;1
8539;1
23699;1
20937;1
14396;1
4875;1
28487;1
31325;1
21890;1
23528;1
33409;1
23649;1
9787;1
26752;1
13313;1
36682;1
13754;1
29715;1
10978;1
17560;1
30689;1
15287;1
16116;1
16804;1
2951;1
28370;1
29457;1
845;1
11184;1
19110;1
37516;1
1963;1
6394;1
28252;1
9911;1
10512;1
9127;1
27066;1
28320;1
14409;1
20961;1
851;1
2598;1
11651;1
29756;1
15158;1
9686;1
14237;1
108;1
841;1
12746;1
2810;1
3263;1
6141;1
16315;1
8524;1
5066;1
16032;1
8361;1
34361;1
30112;1
3824;1
20015;1
27414;1
19153;1
10807;1
30059;1
11483;1
2994;1
25733;1
14990;1
536;1
27711;1
33898;1
7634;1
10519;1
23555;1
27126;1
11089;1
36911;1
26764;1
17226;1
27895;1
19067;1
18816;1
2030;1
2845;1
26015;1
23227;1
7384;1
1195;1
7476;1
32311;1
32424;1
1152;1
21078;1
24927;1
1439;1
819;1
9821;1
9873;1
5810;1
5690;1
463;1
19750;1
4382;1
287;1
19808;1
12106;1
4034;1
29512;1
15061;1
21957;1
20378;1
24818;1
36797;1
4634;1
17435;1
8065;1
9738;1
27241;1
22134;1
34709;1
32802;1
4265;1
28873;1
1570;1
34073;1
25183;1
27910;1
3634;1
30885;1
6818;1
7449;1
29582;1
27473;1
31172;1
29702;1
26536;1
12021;1
14884;1
32192;1
18702;1
15643;1
20165;1
3430;1
20339;1
28745;1
15396;1
28617;1
2014;1
3244;1
6732;1
9862;1
26677;1
29597;1
19293;1
19880;1
27120;1
19842;1
15633;1
11349;1
2915;1
10960;1
3164;1
12861;1
32646;1
17494;1
19599;1
19184;1
20628;1
4692;1
1222;1
17246;1
28857;1
28830;1
2154;1
2979;1
25750;1
743;1
26358;1
16135;1
2135;1
8302;1
33807;1
14835;1
19176;1
9955;1
11900;1
13026;1
30691;1
13331;1
20896;1
32310;1
35692;1
23615;1
551;1
17003;1
24233;1
10633;1
22771;1
17897;1
1752;1
21476;1
15383;1
8035;1
8803;1
26906;1
12135;1
